"disaster_id","county_id","dc_id","aid","population","pcnt_white","med_income","dem_rep"
1,1,"1-1",318.945034896024,15718.8035994768,0.868267528247088,74899.7815710027,0
1,2,"1-2",854.98543062713,13128.638856113,0.254811537219211,46892.9786817171,0
1,3,"1-3",837.871918501332,13190.0367662311,0.513713228749111,95691.2088440731,0
1,4,"1-4",398.58131504152,8670.37755995989,0.185666019329801,29905.2528163884,0
1,5,"1-5",360.941647947766,20358.8012587279,0.777656719787046,87772.8145278525,0
2,1,"2-1",356.531794159673,20834.2403694987,0.788641987834126,33511.5077381488,0
2,2,"2-2",517.128361342475,24342.9368827492,0.243983581895009,74444.4384705275,0
2,3,"2-3",602.689002081752,22689.0473533422,0.423779134638608,79568.085790379,0
2,4,"2-4",224.00675797835,11759.9622346461,0.381818236783147,78127.1410989575,0
2,5,"2-5",318.159772944637,11596.638225019,0.48470007092692,40972.0087773167,0
3,1,"3-1",863.868965348229,8524.68625828624,0.224284168099985,31244.9058052152,0
3,2,"3-2",441.645456082188,18326.7129436135,0.964427922852337,33872.312749736,0
3,3,"3-3",726.465192972682,3531.67265467346,0.272997853113338,95633.854274638,0
3,4,"3-4",793.402889394201,11399.0294430405,0.238712732447311,25130.7988131884,0
3,5,"3-5",347.223650454544,21645.4865671694,0.377695026108995,89409.0742920525,0
4,1,"4-1",196.13843720872,19115.0557976216,0.217646440956742,73437.2347593307,1
4,2,"4-2",945.107749709859,23621.2101262063,0.0432618032209575,74952.3976410273,1
4,3,"4-3",158.676925790496,10379.2361859232,0.693858579266816,28455.5653808638,1
4,4,"4-4",823.235198203474,20191.5108431131,0.58351309527643,97748.7961819861,1
4,5,"4-5",285.918932012282,23073.1761176139,0.541846856009215,82089.7995028645,1
5,1,"5-1",823.820025799796,2754.84072975814,0.309747878927737,59928.4393189009,1
5,2,"5-2",358.963000797667,24609.7509320825,0.185187552357092,34262.5766934361,1
5,3,"5-3",941.563351312652,3421.95816338062,0.786704635480419,33756.7147624213,1
5,4,"5-4",678.315054951236,24419.4202572107,0.646765059558675,37086.4504191559,1
5,5,"5-5",248.824774893001,19009.6886921674,0.373019854305312,88084.9454086274,1
